obs,country,country_map,code,region,ims,gdp_pc,gov_ed,unem,timebuss,psa,cci,imp,mena,govexp,che,democracy,democracy2,hief,refug,richoil,oilrents
137,Namibia,Namibia,NAM,Sub-Saharan Africa,3.818401435,10487.50002,NA,20.88199997,66,0.7331128,0.3193384,Maintain,0,27.38085029,9.70993042,6,3,76,1730,0,0
138,Nauru,Nauru,NRU,East Asia & Pacific,31.0898063,11278.35196,NA,NA,NA,0.5437602,-0.5246901,NA,0,NA,15.1927681,NA,NA,NA,508,0,0
139,Nepal,Nepal,NPL,South Asia,1.817645553,2911.548304,3.703589916,1.475000024,17,-0.9983346,-0.5780479,Maintain,0,10.91623708,6.21927214,6,2,86,32669,0,0
140,Netherlands,Netherlands,NLD,Europe & Central Asia,11.69568274,53223.44268,5.34815979,6.872000217,3.5,0.9261193,1.884297,Maintain,0,24.97855097,10.32396889,10,3,35.4,88518,0,0.027742591
141,New Caledonia,New Caledonia,NCL,East Asia & Pacific,24.43390418,NA,NA,14.12699986,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
142,New Zealand,New Zealand,NZL,East Asia & Pacific,22.95970035,40467.20455,6.337389946,5.364999771,0.5,1.525453,2.275631,Maintain,0,18.55873061,9.31466961,10,3,48.5,1313,0,0.198905964
143,Nicaragua,Nicaragua,NIC,Latin America & Caribbean,0.661982706,5630.397464,4.078430176,4.699999809,14,-0.0866075,-0.8882873,Maintain,0,14.05206107,7.96303225,9,1,54.4,325,0,0
144,Niger,Niger,NER,Sub-Saharan Africa,0.951072208,1132.331205,4.494679928,0.514999986,16,-1.066546,-0.6542467,Maintain,0,17.72545867,7.13803673,6,2,66.6,124717,0,0.973444101
145,Nigeria,Nigeria,NGA,Sub-Saharan Africa,0.658124088,5514.770455,NA,4.31099987,30.3,-1.925443,-1.079387,Maintain,0,5.935159057,3.58195019,7,2,85,1387,0,2.992006443
146,North Macedonia,Macedonia ,MKD,Europe & Central Asia,6.289774173,14956.44216,NA,26.06800079,15,-0.2870161,-0.2560806,Maintain,0,16.97635226,6.34227896,9,1,NA,697,0,0
147,Northern Mariana Islands,Northern Mariana Islands,MNP,East Asia & Pacific,39.30996913,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0
148,Norway,Norway,NOR,Europe & Central Asia,14.23561116,61895.79561,7.569330215,4.296000004,4,1.161716,2.242804,Maintain,0,23.23902149,10.13146877,10,3,15.1,50377,1,3.142470375
